Min Dimensions,EMPTY,power_trace,bonding wire pad,power_lead,MOS,signal_lead
MinWidth,1,1,0,3.0,4.0,3.0
MinLength,1,1,0,3.0,5.7,8.0
MinHorExtension,1,1,0,3.0,4.0,3.0
MinVerExtension,1,1,0,3.0,5.7,8.0
MinHorEnclosure,EMPTY,power_trace,bonding wire pad,power_lead,MOS,signal_lead
EMPTY,1,1,1,1,1,1
power_trace,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1
power_lead,1,1,1,1,1,1
MOS,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1
MinVerEnclosure,EMPTY,power_trace,bonding wire pad,power_lead,MOS,signal_lead
EMPTY,1,1,1,1,1,1
power_trace,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1
power_lead,1,1,1,1,1,1
MOS,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1
MinHorSpacing,EMPTY,power_trace,bonding wire pad,power_lead,MOS,signal_lead
EMPTY,1,1,1,1,1,1
power_trace,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1
power_lead,1,1,1,1,1,1
MOS,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1
MinVerSpacing,EMPTY,power_trace,bonding wire pad,power_lead,MOS,signal_lead
EMPTY,1,1,1,1,1,1
power_trace,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1
power_lead,1,1,1,1,1,1
MOS,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1
